Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AM0,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,130.23,-105.82,0,top
AM0:5,L,VoidSwitch_1u_SMD,71.713951,-70.709376,-15,top
AM0:6,Left,VoidSwitch_1u_SMD,100.4,-61.5,-15,top
AM0:7,Down,VoidSwitch_1u_SMD,128.447416,-66.210792,-15,top
AM0:8,Right,VoidSwitch_1u_SMD,151.069509,-84.450317,-15,top
AM0:9,Start,VoidSwitch_1u_SMD,204.096474,-81.16412,0,top
AM0:14,M1,VoidSwitch_1u_SMD,165.395669,-131.64087,-15,top
AM0:15,M2,VoidSwitch_1u_SMD,183.229277,-152.74464,-15,top
AM1,CD74HC4067SM,SSOP-24_5.3x8.2mm_P0.65mm,293.08,-105,0,top
AM1:0,C_Right,VoidSwitch_1u_SMD,262.393097,-113.314801,15,top
AM1:1,C_Down,VoidSwitch_1u_SMD,226.665428,-152.173089,15,top
AM1:2,C_Left,VoidSwitch_1u_SMD,218.594156,-125.050692,15,top
AM1:3,C_Up,VoidSwitch_1u_SMD,237.426539,-108.946214,15,top
AM1:4,B,VoidSwitch_1u_SMD,255.100941,-83.730627,15,top
AM1:5,R,VoidSwitch_1u_SMD,248.205206,-58.062381,15,top
AM1:6,X,VoidSwitch_1u_SMD,270.714833,-39.611771,15,top
AM1:7,Y,VoidSwitch_1u_SMD,277.610827,-65.280983,15,top
AM1:8,MS,VoidSwitch_1u_SMD,298.873647,-35.146587,15,top
AM1:9,Z,VoidSwitch_1u_SMD,305.769641,-60.815799,15,top
AM1:10,LS,VoidSwitch_1u_SMD,328.353542,-43.849161,15,top
AM1:11,Up,VoidSwitch_1u_SMD,335.249536,-69.518373,15,top
AM1:12,A,VoidSwitch_1u_SMD,244.497811,-134.068611,15,top
C1,1uF,C_0402_1005Metric,211.437974,-46.462254,0,top
C2,1uF,C_0402_1005Metric,208.417974,-38.417254,180,top
C3,100nF,C_0402_1005Metric,200.617974,-41.477254,0,top
C4,1uF,C_0402_1005Metric,206.863724,-48.493272,90,top
C5,100nF,C_0402_1005Metric,202.573974,-46.699504,90,top
C6,100nF,C_0402_1005Metric,206.510974,-62.320504,-90,top
C7,22pF,C_0402_1005Metric,198.382974,-66.146272,-90,top
C8,22pF,C_0402_1005Metric,205.085724,-65.892272,90,top
C9,10uF,C_0402_1005Metric,211.437974,-45.262254,180,top
C10,1uF,C_0402_1005Metric,204.097974,-46.699504,90,top
C11,100nF,C_0402_1005Metric,211.403974,-57.653147,-45,top
C12,100nF,C_0402_1005Metric,207.879724,-48.493272,90,top
C13,100nF,C_0402_1005Metric,198.862724,-51.033272,90,top
C14,100nF,C_0402_1005Metric,204.986974,-62.320504,-90,top
C15,100nF,C_0402_1005Metric,197.846724,-56.875272,-135,top
C16,100nF,C_0402_1005Metric,210.574974,-49.747504,0,top
C17,100nF,C_0402_1005Metric,210.574974,-51.271504,0,top
D1,Schottky Diode,CUSTOM D_SOD-123,211.967974,-42.247254,90,top
D2,Schottky Diode,CUSTOM D_SOD-123,214.347974,-37.317254,90,top
F1,500 mA,Fuse_1206_3216Metric,209.227974,-35.297254,0,top
J1,USB C Connector,TYPE-C_24P_QCHT,204.096474,-27.837254,180,top
R1,1M,R_0603_1608Metric,211.212974,-26.557254,180,top
R2,5.1k,R_0402_1005Metric,199.947974,-35.067254,180,top
R3,5.1k,R_0402_1005Metric,210.777974,-32.407254,0,top
R5,5.6k,R_0603_1608Metric,214.547974,-49.442254,-90,top
R6,10k,R_0603_1608Metric,216.087974,-49.442254,90,top
R7,10k,R_0402_1005Metric,210.017974,-61.767254,180,top
R8,27,R_0603_1608Metric,204.527974,-42.977254,-90,top
R9,27,R_0603_1608Metric,206.057974,-42.977254,-90,top
R10,1k,R_0402_1005Metric,191.367974,-39.557254,-90,top
R11,1k,R_0402_1005Metric,202.954974,-62.320504,90,top
S1,Hall_Sensor,SOT-23,73.997087,-74.692913,45,top
S2,Hall_Sensor,SOT-23,102.704664,-65.498839,45,top
S3,Hall_Sensor,SOT-23,130.754664,-70.198839,45,top
S4,Hall_Sensor,SOT-23,153.38,-88.42,45,top
S5,Hall_Sensor,SOT-23,167.714664,-135.628839,45,top
S6,Hall_Sensor,SOT-23,185.534664,-156.728839,45,top
S7,Hall_Sensor,SOT-23,207.334664,-84.408839,45,top
S8,Hall_Sensor,SOT-23,252.204664,-60.378839,45,top
S9,Hall_Sensor,SOT-23,274.704664,-41.908839,45,top
S10,Hall_Sensor,SOT-23,302.864664,-37.438839,45,top
S11,Hall_Sensor,SOT-23,332.334664,-46.148839,45,top
S12,Hall_Sensor,SOT-23,259.087087,-86.022913,45,top
S13,Hall_Sensor,SOT-23,281.59,-67.58,45,top
S14,Hall_Sensor,SOT-23,309.754664,-63.098839,45,top
S15,Hall_Sensor,SOT-23,339.234664,-71.808839,45,top
S16,Hall_Sensor,SOT-23,222.594664,-127.348839,45,top
S17,Hall_Sensor,SOT-23,241.404664,-111.248839,45,top
S18,Hall_Sensor,SOT-23,230.654664,-154.468839,45,top
S19,Hall_Sensor,SOT-23,248.477087,-136.382913,45,top
S20,Hall_Sensor,SOT-23,266.377087,-115.602913,45,top
SW1,Boot,SW_SPST_SKQG_WithStem,193.127974,-34.337254,-90,top
U1,XC6206,SOT-23,208.870474,-40.657254,180,top
U2,USBLC6-2SC6,SOT-23-6,204.097974,-37.187254,-90,top
U3,RP2040,RP2040-QFN-56,204.097974,-54.732254,0,top
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,194.967974,-43.387254,0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,201.811974,-65.876504,180,top
